seed,K,geometry_semantic_sha256,green_state_dict_sha256,x_green_branch_sha256,y_green_branch_sha256,reconstruction_contract_id,floating_dtype,point_count,point_mass_hex
0,1,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
0,2,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
0,3,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
0,4,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
0,5,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
0,9,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
0,10,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
2,1,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
2,2,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
2,3,sha256:eea85c2aa052a79df12f901dd8db06c5df5758b996d31db9614132c3354aac74,sha256:6a705c61d32e588d231e1c011b9a94f6b08a525e1b89713eeaa7f403f2b62184,sha256:0b8e70d66870cb541c22cc97a0f5efa43b88cbcd5a3cc521a01370ad0532a264,sha256:215b5122033ae4c1abdbf0d9fa68fb1675a7541f65446e1d4d7d872a1bee828b,segment_green_kernel_nonuniform_unit_quadrature_physical_source_l2_v1,float64,4572,0x1.0000000000000p-14
