K,global,q05,minimum,full_point_fraction
1,0.00021872265966754156,0.00021872265966754156,0.00021872265966754156,0.0
2,0.8383341982733348,0.21916010498687663,0.0006561679790026247,0.0
3,0.988527106683843,0.9881889763779528,0.0032808398950131233,0.0
4,0.9981279407003258,0.9986876640419947,0.03455818022747156,0.0
5,0.9997782156058139,0.9995625546806649,0.7740594925634295,0.6885389326334208
6,0.9999937808517593,1.0,0.9938757655293088,0.9877515310586177
7,0.9999994259247778,1.0,0.9993438320209974,0.9986876640419947
8,0.9999999043207963,1.0,0.9997812773403325,0.9995625546806649
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
