hardware,seed,K,run_path,best_epoch,best_step,best_val_energy,final_val_energy,final_train_energy,val_end_over_best,val_last10_over_previous10,train_last10_over_previous10,optimizer_ms,peak_device_memory_mib,success_marker,parameter_count,cpu_runtime_log,artifact_original_outdir,timestamped_train_epochs,steady_epoch_seconds,trainer_wall_hours,log_span_hours_including_export,log_first_timestamp,log_last_timestamp,loss_mean,loss_max,boundary_weight_mean,boundary_weight_max,loss_energy_optimized_mean,loss_energy_optimized_max,loss_energy_consistency_mean,loss_energy_consistency_max,loss_energy_bulk_mean,loss_energy_bulk_max,loss_energy_boundary_mean,loss_energy_boundary_max,loss_energy_boundary_x_mean,loss_energy_boundary_x_max,loss_energy_boundary_y_mean,loss_energy_boundary_y_max,rel_sol_mean,rel_sol_max,rel_sol_equal_mean_mean,rel_sol_equal_mean_max,weak_weight_phi_mean_mean,weak_weight_phi_mean_max,weak_weight_phi_min_mean,weak_weight_phi_min_max,weak_weight_phi_max_mean,weak_weight_phi_max_max,weak_support_fraction_mean,weak_support_fraction_max,rel_flux_mean,rel_flux_max,rel_sol_p95,rel_sol_median,rel_flux_p95,rel_flux_median,rel_sol_equal_mean_p95,rel_sol_equal_mean_median,final_checkpoint_rel_sol_mean,weak_relative_improvement,weak_sample_win_fraction,tangent_response_mismatch_pre_mean,tangent_response_mismatch_pre_max,tangent_response_mismatch_post_mean,tangent_response_mismatch_post_max,tangent_response_mismatch_ratio_mean,tangent_response_mismatch_ratio_max,tangent_gradient_rms_mean,tangent_gradient_rms_max,tangent_delta_rms_mean,tangent_delta_rms_max,tangent_delta_max_abs_mean,tangent_delta_max_abs_max,tangent_correction_rel_symmetric_pair_mean,tangent_correction_rel_symmetric_pair_max,tangent_eta_cap_enabled_mean,tangent_eta_cap_enabled_max,tangent_eta_star_mean,tangent_eta_star_max,tangent_eta_applied_mean,tangent_eta_applied_max,tangent_eta_capped_mean,tangent_eta_capped_max,tangent_line_search_numerator_mean,tangent_line_search_numerator_max,tangent_line_search_denominator_mean,tangent_line_search_denominator_max,tangent_subspace_dimension_mean,tangent_subspace_dimension_max,tangent_coefficient_0_mean,tangent_coefficient_0_max,tangent_direction_0_active_mean,tangent_direction_0_active_max,tangent_response_cost_k1_mean,tangent_response_cost_k1_max,tangent_coefficient_1_mean,tangent_coefficient_1_max,tangent_direction_1_active_mean,tangent_direction_1_active_max,tangent_response_cost_k2_mean,tangent_response_cost_k2_max,tangent_response_cost_k2_over_k1_mean,tangent_response_cost_k2_over_k1_max,tangent_second_direction_active_mean,tangent_second_direction_active_max,tangent_response_orthogonality_max_mean,tangent_response_orthogonality_max_max,tangent_coefficient_2_mean,tangent_coefficient_2_max,tangent_direction_2_active_mean,tangent_direction_2_active_max,tangent_response_cost_k3_mean,tangent_response_cost_k3_max,tangent_response_cost_k3_over_k2_mean,tangent_response_cost_k3_over_k2_max,tangent_coefficient_3_mean,tangent_coefficient_3_max,tangent_direction_3_active_mean,tangent_direction_3_active_max,tangent_response_cost_k4_mean,tangent_response_cost_k4_max,tangent_response_cost_k4_over_k3_mean,tangent_response_cost_k4_over_k3_max,tangent_coefficient_4_mean,tangent_coefficient_4_max,tangent_direction_4_active_mean,tangent_direction_4_active_max,tangent_response_cost_k5_mean,tangent_response_cost_k5_max,tangent_response_cost_k5_over_k4_mean,tangent_response_cost_k5_over_k4_max,tangent_coefficient_5_mean,tangent_coefficient_5_max,tangent_direction_5_active_mean,tangent_direction_5_active_max,tangent_response_cost_k6_mean,tangent_response_cost_k6_max,tangent_response_cost_k6_over_k5_mean,tangent_response_cost_k6_over_k5_max,tangent_coefficient_6_mean,tangent_coefficient_6_max,tangent_direction_6_active_mean,tangent_direction_6_active_max,tangent_response_cost_k7_mean,tangent_response_cost_k7_max,tangent_response_cost_k7_over_k6_mean,tangent_response_cost_k7_over_k6_max,tangent_coefficient_7_mean,tangent_coefficient_7_max,tangent_direction_7_active_mean,tangent_direction_7_active_max,tangent_response_cost_k8_mean,tangent_response_cost_k8_max,tangent_response_cost_k8_over_k7_mean,tangent_response_cost_k8_over_k7_max,tangent_coefficient_8_mean,tangent_coefficient_8_max,tangent_direction_8_active_mean,tangent_direction_8_active_max,tangent_response_cost_k9_mean,tangent_response_cost_k9_max,tangent_response_cost_k9_over_k8_mean,tangent_response_cost_k9_over_k8_max,tangent_coefficient_9_mean,tangent_coefficient_9_max,tangent_direction_9_active_mean,tangent_direction_9_active_max,tangent_response_cost_k10_mean,tangent_response_cost_k10_max,tangent_response_cost_k10_over_k9_mean,tangent_response_cost_k10_over_k9_max,rel_u_phi_mean,rel_u_psi_mean,rel_phi_mean,rel_psi_mean
nvidia_a40,0,0,checkpoints/numerical_examples/pentagram/nvidia_a40/seed0/pentagram_k0_seed0,100,2400,7.103972556486085e-05,7.103972556486085e-05,5.983424270641497e-05,1.0,0.9934726545150913,0.981504549609419,73.25261583551764,8768.4814453125,False,1482872,not_recorded,/home/jjhong0608/Documents/GreenNetResearch/ComplexGeometry/checkpoints/numerical_examples/pentagram/nvidia_a40/seed0/pentagram_k0_seed0/artifacts_best_energy,100,251.0,7.019444444444445,7.337777777777778,2026-09-02 10:25:37,2026-09-02 17:45:53,6.672464551746036e-05,0.0002012699169224,0.0,0.0,6.672464551746036e-05,0.0002012699169224,0.00014563747101896575,0.0006897136667766,6.672464551746036e-05,0.0002012699169224,7.891282550151138e-05,0.0004884437498542,9.389345947104127e-06,3.281460010514751e-05,6.952347955440884e-05,0.0004650539128047,0.04136498306338088,0.111591883432876,0.04437909249199696,0.1377618541805589,0.5070500046202678,0.5404921833992825,0.25078887582378573,0.255129352681135,0.7447908830615486,0.749247241804494,1.0,1.0,0.4201255429732116,0.6520324649728055,0.072000378643343,0.0366059685482796,0.5582554201784928,0.4164108576076677,0.07989891048965314,0.03972819629035525,0.04136498306338088,0.06791732907020631,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08328525796291539,0.07296750781847228,0.4254242377457465,0.4148268482006774
mac_studio,1,0,checkpoints/numerical_examples/pentagram/mac_studio/seed1/pentagram_k0_seed1,100,2400,6.96431288980769e-05,6.96431288980769e-05,6.032520022639167e-05,1.0,0.9930634257704153,0.9807149728909378,179.9786627787398,0.0,False,1482872,"runtime_cpu - p_core_count=16 env=ACCELERATE_NUM_THREADS=16,OMP_NUM_THREADS=16,MKL_NUM_THREADS=16 torch_num_threads=12->16 torch_interop_threads=24->1 interop_status=applied flush_denormal_supported=True",/Users/jjhong0608/Documents/ComplexGeometryGreenNet/checkpoints/numerical_examples/pentagram/mac_studio/seed1/pentagram_k0_seed1/artifacts_best_energy,100,227.5,6.345,6.5569444444444445,2026-09-02 10:31:53,2026-09-02 17:05:18,6.726304918210302e-05,0.000199569783107,0.0,0.0,6.726304918210302e-05,0.000199569783107,0.00014219690625727436,0.0006637994566173,6.726304918210302e-05,0.000199569783107,7.493385707517497e-05,0.0004668197869103,9.890033002615515e-06,3.392192713078877e-05,6.504382407256222e-05,0.0004434418203525,0.04189769990934436,0.1282449093720823,0.04458983897315952,0.139342027154441,0.5069020383647925,0.5359723443261084,0.2508986412461547,0.254387448296951,0.7445458608990363,0.7493493895534838,1.0,1.0,0.47018162125120866,0.7855201622634156,0.07714413630134818,0.03709683067418365,0.6356044614847264,0.467670288586545,0.08078338533221736,0.040880753198627204,0.04189769990934436,0.0603756175355481,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08369246389533327,0.07436695173474364,0.47507871746602653,0.4652845250363877
nvidia_a40,2,0,checkpoints/numerical_examples/pentagram/nvidia_a40/seed2/pentagram_k0_seed2,93,2232,7.044053878779117e-05,7.052936484627601e-05,5.963185774798994e-05,1.0012610076528863,0.9924695652758527,0.9816932751842904,71.52871742223701,12290.912109375,False,1482872,not_recorded,/home/jjhong0608/Documents/GreenNetResearch/ComplexGeometry/checkpoints/numerical_examples/pentagram/nvidia_a40/seed2/pentagram_k0_seed2/artifacts_best_energy,100,250.0,6.9622222222222225,7.281944444444444,2026-09-02 10:25:37,2026-09-02 17:42:32,6.90954311120339e-05,0.0001972054340592,0.0,0.0,6.90954311120339e-05,0.0001972054340592,0.00014903551360620796,0.0008649385746197,6.90954311120339e-05,0.0001972054340592,7.994008249418345e-05,0.0006677331405605,1.0760382294233007e-05,4.013090117072004e-05,6.917970019995034e-05,0.0006381436375248,0.04263208630619436,0.1067395170744547,0.04552605291733927,0.1306851633260978,0.5071495643494237,0.5396194574091885,0.25088730897617173,0.255471670556642,0.7445436593718595,0.7493552963180647,1.0,1.0,0.4858356550064877,0.8200307524314319,0.07705669461930557,0.038506717792094455,0.7090700522884678,0.4712208624216233,0.08708538167126502,0.040688633891157705,0.04263436717507135,0.06356726370281707,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08378365842452401,0.07505094465516006,0.4915143397444814,0.4801569702684914
mac_studio,3,0,checkpoints/numerical_examples/pentagram/mac_studio/seed3/pentagram_k0_seed3,98,2352,6.787075122293154e-05,6.7879038858275e-05,5.9717686971706914e-05,1.0001221090851968,0.9921443005341839,0.9798800998270555,171.64285434584608,0.0,False,1482872,"runtime_cpu - p_core_count=16 env=ACCELERATE_NUM_THREADS=16,OMP_NUM_THREADS=16,MKL_NUM_THREADS=16 torch_num_threads=12->16 torch_interop_threads=24->1 interop_status=applied flush_denormal_supported=True",/Users/jjhong0608/Documents/ComplexGeometryGreenNet/checkpoints/numerical_examples/pentagram/mac_studio/seed3/pentagram_k0_seed3/artifacts_best_energy,100,227.0,6.345,6.556666666666667,2026-09-02 10:31:53,2026-09-02 17:05:17,6.739088140236473e-05,0.000202234247083,0.0,0.0,6.739088140236473e-05,0.000202234247083,0.00014206968003268144,0.0006145765673799,6.739088140236473e-05,0.000202234247083,7.46787986303209e-05,0.0004123423202969,9.718715415128647e-06,3.58875660938819e-05,6.496008321519125e-05,0.000388597710662,0.040611857277236096,0.1158274458481775,0.04358165257735346,0.1348871594919466,0.5072079030127269,0.5478724955206361,0.2508102296776346,0.2549628461687706,0.7447434938778115,0.7493805808312373,1.0,1.0,0.4362952793111175,0.687260475832705,0.07160350613733797,0.03649235517564805,0.6093755777626008,0.42831955253582443,0.07348753560376488,0.03845811594049685,0.04062041591434723,0.06814324662990345,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08227577331861079,0.07362517263005758,0.4414770017913184,0.43111355683091707
nvidia_a40,0,1,checkpoints/numerical_examples/pentagram/nvidia_a40/seed0/pentagram_k1_seed0,69,1656,4.266380660110159e-05,4.3642745269565645e-05,2.8586827817399367e-05,1.0229454131371103,1.0053936351976147,0.9726348160827968,73.26274760688345,11405.97705078125,True,1482872,not_recorded,/home/jjhong0608/Documents/GreenNetResearch/ComplexGeometry/checkpoints/numerical_examples/pentagram/nvidia_a40_rerun_20260903_083548/seed0/pentagram_k1_seed0/artifacts_best_energy,100,189.0,5.343333333333334,5.711111111111111,2026-09-03 08:35:52,2026-09-03 14:18:32,4.067893418180808e-05,0.0001177691276166,0.0,0.0,4.067893418180808e-05,0.0001177691276166,7.5964455331239e-05,0.0002630359586734,4.067893418180808e-05,0.0001177691276166,3.528552114943533e-05,0.000177292303997,7.04495454399829e-06,2.2459831942159456e-05,2.824056660544152e-05,0.0001653715312371,0.030241866720686815,0.1206259846802331,0.032196545248212305,0.1235622992797918,0.5067356096022848,0.539355467639224,0.25090628330232656,0.2535815592798542,0.7441841137623983,0.7492386580973127,1.0,1.0,0.4226316449476155,0.6838020699188623,0.058069887623445775,0.026118785711353898,0.5940732797957515,0.4071902835105798,0.06086973042910042,0.028791879870115347,0.03165577781522929,0.060710815786486405,0.94,0.001876310594949448,0.0047530965451198,0.00030644742068811607,0.0006737395616874,0.23107168360189334,0.7122021312148559,8.302489270780218e-09,2.253403144585908e-08,0.05257732457345547,0.1312872499427039,0.33544426246772246,0.957289536421717,0.06376732406153497,0.1434061754605067,0.0,0.0,0.010240101207485443,0.0157950867507419,0.010240101207485443,0.0157950867507419,0.0,0.0,0.00013378172227912775,0.0006706842526815,0.0140757390150715,0.0715796882053067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05109850535476805,0.05161442286498248,0.4276935319266335,0.41756975796859974
mac_studio,1,1,checkpoints/numerical_examples/pentagram/mac_studio/seed1/pentagram_k1_seed1,59,1416,4.244667057970582e-05,4.344237848888667e-05,2.878678456414592e-05,1.0234578565428618,1.0042143477175582,0.973740859217603,160.13084351618696,0.0,False,1482872,"runtime_cpu - p_core_count=16 env=ACCELERATE_NUM_THREADS=16,OMP_NUM_THREADS=16,MKL_NUM_THREADS=16 torch_num_threads=12->16 torch_interop_threads=24->1 interop_status=applied flush_denormal_supported=True",/Users/jjhong0608/Documents/ComplexGeometryGreenNet/checkpoints/numerical_examples/pentagram/mac_studio/seed1/pentagram_k1_seed1/artifacts_best_energy,100,155.0,4.3197222222222225,4.545,2026-09-02 17:05:21,2026-09-02 21:38:03,4.0181836823863676e-05,0.0001201774369717,0.0,0.0,4.0181836823863676e-05,0.0001201774369717,7.310613466837527e-05,0.0002465674308561,4.0181836823863676e-05,0.0001201774369717,3.2924297844519974e-05,0.0001715163976067,7.134032971128539e-06,2.6643821026014325e-05,2.5790264873392637e-05,0.0001604148286211,0.029974432571680563,0.1108948212856978,0.03190699930264189,0.1128337317162973,0.509683424291541,0.534332715531605,0.25092508232076866,0.2550639124191565,0.7445559802686665,0.7493713349448833,1.0,1.0,0.4317192649213854,0.7400764998980027,0.06526525413935638,0.0245486991179641,0.6082405836919048,0.4175637082957696,0.06558196893171712,0.0272252039172223,0.03114155008433772,0.06056873956183373,0.95,0.0018152535157219055,0.0047670608611433,0.000309113462659691,0.0006103363095345,0.2385088936995418,0.8266704307773433,8.036015082183674e-09,2.277220144248805e-08,0.050673556036413075,0.1292812748221873,0.32478371544942214,1.0129642902887217,0.06105715407960278,0.1334986151335524,0.0,0.0,0.010248003934455541,0.025413604645812,0.010248003934455541,0.025413604645812,0.0,0.0,0.0001253031619057866,0.0006687820339242,0.013183562065982073,0.0710216845852737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05111615188144856,0.051344674084382896,0.4377457665269619,0.42569276331580924
nvidia_a40,2,1,checkpoints/numerical_examples/pentagram/nvidia_a40/seed2/pentagram_k1_seed2,64,1536,4.022344993771935e-05,4.137964040869233e-05,2.9032839438333507e-05,1.0287441895899827,1.0015438159908114,0.9727343197340301,81.95276619245607,11405.97705078125,True,1482872,not_recorded,/home/jjhong0608/Documents/GreenNetResearch/ComplexGeometry/checkpoints/numerical_examples/pentagram/nvidia_a40_rerun_20260903_083548/seed2/pentagram_k1_seed2/artifacts_best_energy,100,190.0,5.3725,5.739444444444445,2026-09-03 08:35:52,2026-09-03 14:20:14,4.066274977166916e-05,0.0001295115551949,0.0,0.0,4.066274977166916e-05,0.0001295115551949,7.389423706883233e-05,0.0002560926676234,4.066274977166916e-05,0.0001295115551949,3.3231487297172415e-05,0.0001445968184229,6.7915758581996836e-06,2.407281560676183e-05,2.6439911438971387e-05,0.0001257268621787,0.03127687742226961,0.1186741713883071,0.03310615782818994,0.1165156486268431,0.5086469850321167,0.5343891505513254,0.25090402952022717,0.2538143475413881,0.7442395962063215,0.7489599994647297,1.0,1.0,0.38650336037777805,0.6082275228825608,0.06225779728779336,0.02488377831722985,0.5434513480744118,0.3834497978842527,0.06757383244727862,0.0265449348820894,0.032219509944845,0.05525498958271424,0.86,0.0019662685476766976,0.0053878576962268,0.000317458501667659,0.0006303312517616,0.223490233425989,0.6764190790717718,8.814836560680971e-09,2.5807459209810456e-08,0.05453826018153658,0.1456658697569243,0.36254641062293785,1.179962903577774,0.06779767068703443,0.1460861177396393,0.0,0.0,0.010054808836313246,0.0174912772323172,0.010054808836313246,0.0174912772323172,0.0,0.0,0.00014750004580085362,0.0008536075713607,0.01555133866411556,0.0906042385339813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05274819757579954,0.05308453394783188,0.39101730360223746,0.38198941715331847
mac_studio,3,1,checkpoints/numerical_examples/pentagram/mac_studio/seed3/pentagram_k1_seed3,68,1632,3.9993856418016746e-05,4.162269134032138e-05,2.8456822611139816e-05,1.0407271283189101,1.006467012085041,0.9708304207401495,188.1325514803757,0.0,False,1482872,"runtime_cpu - p_core_count=16 env=ACCELERATE_NUM_THREADS=16,OMP_NUM_THREADS=16,MKL_NUM_THREADS=16 torch_num_threads=12->16 torch_interop_threads=24->1 interop_status=applied flush_denormal_supported=True",/Users/jjhong0608/Documents/ComplexGeometryGreenNet/checkpoints/numerical_examples/pentagram/mac_studio/seed3/pentagram_k1_seed3/artifacts_best_energy,100,155.0,4.3197222222222225,4.545277777777778,2026-09-02 17:05:21,2026-09-02 21:38:04,3.9360218924631816e-05,0.0001184248535205,0.0,0.0,3.9360218924631816e-05,0.0001184248535205,7.120184919186875e-05,0.0002249600022596,3.9360218924631816e-05,0.0001184248535205,3.1841630267245636e-05,0.00011312398202,7.126966949711752e-06,2.451787865049703e-05,2.47146633175359e-05,9.549399338223056e-05,0.029563728219098598,0.1150151219826612,0.03148620567813169,0.1150881397862181,0.5095093438810845,0.5441293365656992,0.2510427549027956,0.2564713418506755,0.7450321649671754,0.7490996073349601,1.0,1.0,0.42453695039845896,0.7184300408911379,0.061756119712043,0.0243996849872141,0.6023908344367896,0.40253155019367437,0.06548228683069679,0.025513224971498202,0.030347894236892298,0.0610577685569883,0.86,0.0018603837657624781,0.0051388211514931,0.000308857485830603,0.0006813306814831,0.2267809436320954,0.6972346510983642,8.26790462055879e-09,2.4193022046791368e-08,0.05198505386505035,0.1417072791527571,0.3451911499462685,1.0513468806863309,0.06248516932268949,0.1263212660393584,0.0,0.0,0.010265571193204603,0.0177345023462911,0.010265571193204603,0.0177345023462911,0.0,0.0,0.00013056623761989583,0.0007841589948388,0.013725754962562817,0.0836759659033473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050229562855175824,0.050725886896914825,0.43070916965552625,0.41836473114139194
nvidia_a40,0,2,checkpoints/numerical_examples/pentagram/nvidia_a40/seed0/pentagram_k2_seed0,54,1296,2.302355471921578e-05,2.6858748496841208e-05,1.2674246158539638e-05,1.166576961046963,1.0131547730679962,0.967098528993176,75.55467414669693,11629.95263671875,True,1482872,not_recorded,/home/jjhong0608/Documents/GreenNetResearch/ComplexGeometry/checkpoints/numerical_examples/pentagram/nvidia_a40_rerun_20260903_083548/seed0/pentagram_k2_seed0/artifacts_best_energy,100,201.0,5.5525,5.972222222222222,2026-09-03 14:18:38,2026-09-03 20:16:58,2.1342836965758645e-05,5.946175080899335e-05,0.0,0.0,2.1342836965758645e-05,5.946175080899335e-05,4.4450566246943556e-05,0.0002393017730378,2.1342836965758645e-05,5.946175080899335e-05,2.3107729281185538e-05,0.0001798400222288,3.7932795968950642e-06,1.3808513863791811e-05,1.9314449684291118e-05,0.0001746736927532,0.01584657212173396,0.0518577594911796,0.018553187670510226,0.0653854674776042,0.5084058285899598,0.5325903992875346,0.25083768026206316,0.25380004656035,0.7453200505505809,0.7496757403909967,1.0,1.0,0.33587561352282386,0.527416347613556,0.03096342670612274,0.012725178990239849,0.4328828448155264,0.33587687726328186,0.034385563115590975,0.01548177283906845,0.016312420130258343,0.14588412497321723,1.0,0.0019207213887533277,0.0044413101645718,0.00018683912070126298,0.0003668199312895,0.12021839095297089,0.3795632050552475,7.926840710460317e-09,2.0457180362970023e-08,0.0685899875273758,0.162492961308507,0.3730978586917082,0.8226208137637345,0.08476226499237294,0.156511490110591,,,,,,,,,,,,,2.0,2.0,0.01185324787876359,0.0230356206047809,1.0,1.0,6.845485289574505e-08,4.032845410730816e-07,0.020301630982268316,0.0272980050289134,1.0,1.0,1.0487125356128862e-08,3.754846026759341e-08,0.203192803404178,0.6243497167676711,1.0,1.0,2.6564574279206316e-13,4.934610982665184e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03270157595853395,0.028348234076414448,0.33917390056034286,0.3325773264853046
mac_studio,1,2,checkpoints/numerical_examples/pentagram/mac_studio/seed1/pentagram_k2_seed1,49,1176,2.308056015332137e-05,2.8120814913028884e-05,1.270498956408508e-05,1.2183766219808232,1.015558709846642,0.9679092386982598,179.124877359136,0.0,True,1482872,"runtime_cpu - p_core_count=16 env=ACCELERATE_NUM_THREADS=16,OMP_NUM_THREADS=16,MKL_NUM_THREADS=16 torch_num_threads=12->16 torch_interop_threads=24->1 interop_status=applied flush_denormal_supported=True",/Users/jjhong0608/Documents/ComplexGeometryGreenNet/checkpoints/numerical_examples/pentagram/mac_studio_rerun_20260903_083728/seed1/pentagram_k2_seed1/artifacts_best_energy,100,186.0,5.1575,5.418333333333333,2026-09-03 08:37:35,2026-09-03 14:02:41,2.155428279915327e-05,7.396679461558456e-05,0.0,0.0,2.155428279915327e-05,7.396679461558456e-05,4.5730014185071884e-05,0.0002063738959201,2.155428279915327e-05,7.396679461558456e-05,2.4175731385920636e-05,0.0001324071013045,3.6271319020478483e-06,1.202836446638208e-05,2.0548599483873357e-05,0.0001255313697144,0.016108045395479206,0.0498667144507337,0.018724210482651688,0.0572358639128784,0.5087270568155883,0.5365726186321158,0.25074110528830146,0.255920554261144,0.745704670600514,0.7495722857897131,1.0,1.0,0.32728326890073517,0.4877243978243477,0.03334034199403605,0.012955764753789099,0.41628934205793017,0.3283759550321075,0.03645575671295983,0.015739246924575498,0.016577348519275135,0.13972098260679156,1.0,0.0019872005383886,0.005150878236736,0.000191270529322841,0.0003739689415152,0.1182520982899427,0.3340030903039775,8.22957457426286e-09,2.424033842409205e-08,0.07078422280347119,0.1522199114432273,0.39879680491161834,0.9840211406417884,0.0879419143566148,0.139520585707304,,,,,,,,,,,,,2.0,2.0,0.011666424886982689,0.0225560341734848,1.0,1.0,7.376277665407628e-08,4.193024886895808e-07,0.02043060540929238,0.0261127282268006,1.0,1.0,1.1139629536124984e-08,3.902629766021809e-08,0.19237008349757112,0.5094536276906246,1.0,1.0,2.7307264272681103e-13,4.901569319113694e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033047491206561024,0.029032306654745113,0.3280639961199902,0.3265025416814799
