seed,trained_K,stage,cost_mean,ratio_of_mean_costs,mean_sample_ratio,active_fraction
0,2,1,6.845485289574505e-08,,,1.0
0,2,2,1.0487125356128862e-08,0.15319769033906885,0.20319280340417806,1.0
0,3,1,1.0142451604525387e-07,,,1.0
0,3,2,1.1766389715816229e-08,0.11601129760940904,0.14492398089933334,1.0
0,3,3,7.0671573064363786e-09,0.6006224064580147,0.5924258790635951,1.0
0,4,1,1.1695020461225864e-07,,,1.0
0,4,2,1.4915170778183796e-08,0.1275343709541522,0.1536017420416894,1.0
0,4,3,6.679846640640319e-09,0.44785586031712316,0.46402808802418427,1.0
0,4,4,4.8734433427765766e-09,0.7295741361974466,0.7150436116104016,1.0
0,5,1,1.4950163067714934e-07,,,1.0
0,5,2,2.869439571745832e-08,0.191933663783402,0.22187441224955023,1.0
0,5,3,1.2232348746405964e-08,0.4262974856432863,0.4489442692304488,1.0
0,5,4,5.690942714306801e-09,0.46523712103768133,0.4808082414416095,1.0
0,5,5,4.0269643946452915e-09,0.7076093710312116,0.6992468622025975,1.0
0,9,1,1.6480127790378275e-07,,,1.0
0,9,2,2.8803739261450527e-08,0.1747786159659954,0.2037945895088835,1.0
0,9,3,1.896380951373561e-08,0.6583801270245428,0.6368842726694202,1.0
0,9,4,1.2232651473251402e-08,0.6450524333937869,0.6501627089387604,1.0
0,9,5,7.3373671122063645e-09,0.5998182101607865,0.6348142007718385,1.0
0,9,6,4.310316419209738e-09,0.5874472891017191,0.6229963398707666,1.0
0,9,7,2.2584928698734185e-09,0.5239737991874608,0.5640035249868377,1.0
0,9,8,1.335161945172287e-09,0.5911738588960517,0.599321690787317,1.0
0,9,9,1.042898442209978e-09,0.7811025815863889,0.7723959823506515,1.0
0,10,1,2.126702673828244e-07,,,1.0
0,10,2,4.1905258119908743e-08,0.19704333208212763,0.21983962426297418,1.0
0,10,3,2.2808314549646312e-08,0.5442828793556655,0.5280555536373039,1.0
0,10,4,1.3194441879212806e-08,0.5784926304174199,0.5634461386167526,1.0
0,10,5,8.662656496035695e-09,0.656538304184225,0.6455509784707998,1.0
0,10,6,5.924757812122909e-09,0.6839423697377663,0.7077734574765406,1.0
0,10,7,3.3773502442642943e-09,0.5700402195940817,0.6200376134060848,1.0
0,10,8,1.6296626453588508e-09,0.4825269893540013,0.5152754057048078,1.0
0,10,9,1.0581168324461582e-09,0.649285811060093,0.6517022203217886,1.0
0,10,10,9.027401515239427e-10,0.8531573488316833,0.8468387691362671,1.0
2,2,1,6.716887213709534e-08,,,1.0
2,2,2,1.0706401914280336e-08,0.15939529090838364,0.19930648275597168,1.0
2,3,1,1.0493991954193554e-07,,,1.0
2,3,2,1.1483734694150435e-08,0.1094315179988428,0.13939916419101875,1.0
2,3,3,6.907745083111663e-09,0.6015242660238674,0.5905339699304009,1.0
2,4,1,1.2802461035947882e-07,,,1.0
2,4,2,1.6504606159724773e-08,0.12891744886691456,0.1547426617882106,1.0
2,4,3,7.519785256568065e-09,0.4556173703143646,0.4698735579569739,1.0
2,4,4,5.570753540879929e-09,0.7408128491454224,0.7214216839759962,1.0
2,5,1,1.3963249925587603e-07,,,1.0
2,5,2,2.5137907605062355e-08,0.18002906013303704,0.20913063424717368,1.0
2,5,3,1.1128107045389122e-08,0.4426823115201564,0.4651903289638903,1.0
2,5,4,5.599166236313309e-09,0.5031553177441169,0.5157426937379666,1.0
2,5,5,4.028946455582196e-09,0.7195618571658979,0.7107988829478238,1.0
2,9,1,1.906373821542393e-07,,,1.0
2,9,2,3.0466678305757984e-08,0.159814816808113,0.19077872614211627,1.0
2,9,3,1.9969980048702823e-08,0.6554695542549067,0.6278629516312803,1.0
2,9,4,1.297777399766459e-08,0.6498641443814351,0.6458686419883375,1.0
2,9,5,7.727992764469951e-09,0.595479067971182,0.6348675486722702,1.0
2,9,6,4.537515761644764e-09,0.5871532104049509,0.6345896697319787,1.0
2,9,7,2.418227727543809e-09,0.5329408986267073,0.5742375646422253,1.0
2,9,8,1.431699362380324e-09,0.5920448872838372,0.6017461492520706,1.0
2,9,9,1.1217208363026006e-09,0.783489093993618,0.7755281816007797,1.0
2,10,1,2.0488552237454358e-07,,,1.0
2,10,2,3.630550561938056e-08,0.17719898018470928,0.20353801756676645,1.0
2,10,3,2.026010650828064e-08,0.558045017212635,0.5440395886878375,1.0
2,10,4,1.2283305094927457e-08,0.6062803810980494,0.5901311272520701,1.0
2,10,5,7.97587467886475e-09,0.6493264326845132,0.6587282152462085,1.0
2,10,6,5.102602207944087e-09,0.639754561523573,0.681862315559559,1.0
2,10,7,2.9246168289374298e-09,0.5731618318951421,0.615308051734639,1.0
2,10,8,1.5610429536742039e-09,0.5337598205100123,0.5573421882250958,1.0
2,10,9,1.0732667744489686e-09,0.6875318657458056,0.6855932235035828,1.0
2,10,10,9.258839757766846e-10,0.8626783180277312,0.8537034008866258,1.0
1,2,1,7.376277665407628e-08,,,1.0
1,2,2,1.1139629536124984e-08,0.15101966115465348,0.19237008349757112,1.0
1,3,1,1.0404046449587477e-07,,,1.0
1,3,2,1.114447931171378e-08,0.1071167777432949,0.132961278158285,1.0
1,3,3,6.671240341355773e-09,0.5986139105075767,0.5951775893099084,1.0
1,4,1,1.3088159707959297e-07,,,1.0
1,4,2,1.5946715811623832e-08,0.12184077950948415,0.1486218703940566,1.0
1,4,3,7.367813760813567e-09,0.4620270310105509,0.47645221144913125,1.0
1,4,4,5.505759211380493e-09,0.7472717674628814,0.7264438297384069,1.0
1,5,1,1.443972276919994e-07,,,1.0
1,5,2,2.6438365973876626e-08,0.18309469230441117,0.2087384938922966,1.0
1,5,3,1.1490409152827308e-08,0.4346111693960519,0.4613959285723622,1.0
1,5,4,5.653159780613333e-09,0.491989423999086,0.5115047273102215,1.0
1,5,5,4.048666748877938e-09,0.716177660989211,0.7082821991736492,1.0
1,9,1,1.9322529672256254e-07,,,1.0
1,9,2,2.940809896987711e-08,0.1521959053430874,0.1904482090919544,1.0
1,9,3,1.9418959379976552e-08,0.6603269187806906,0.632602688909016,1.0
1,9,4,1.2879724199290559e-08,0.6632551182207639,0.6648409054740734,1.0
1,9,5,7.641594168365743e-09,0.5933041771800251,0.6303723757329459,1.0
1,9,6,4.39035807964437e-09,0.5745343161272992,0.6146878921874663,1.0
1,9,7,2.299057998627209e-09,0.5236607030498611,0.5618060014073845,1.0
1,9,8,1.356571447907526e-09,0.5900553394988507,0.6009669117249627,1.0
1,9,9,1.058831456316905e-09,0.7805202283669787,0.7739484630771183,1.0
1,10,1,1.943509327120233e-07,,,1.0
1,10,2,4.010438475560788e-08,0.20635035909517335,0.23354048693722146,1.0
1,10,3,2.2211786826768516e-08,0.55384933498232,0.5432508766415952,1.0
1,10,4,1.3073413954457196e-08,0.5885800208879091,0.5772197401507829,1.0
1,10,5,8.563372260914311e-09,0.6550218856945741,0.6465143056394811,1.0
1,10,6,5.7667227831470575e-09,0.6734172715424314,0.6990851716599153,1.0
1,10,7,3.2552474204140965e-09,0.5644882791882047,0.6131770520012383,1.0
1,10,8,1.6155010071760135e-09,0.49627595034558303,0.526183863182105,1.0
1,10,9,1.0688893140502734e-09,0.6616457119508405,0.6622777458801385,1.0
1,10,10,9.174747716063287e-10,0.8583440395056441,0.8499890149500595,1.0
3,2,1,6.584235101793671e-08,,,1.0
3,2,2,1.139969046836667e-08,0.17313613946229195,0.21492603503201957,1.0
3,3,1,1.0218504479925716e-07,,,1.0
3,3,2,1.1413471118779528e-08,0.11169414410104068,0.14377169586715915,1.0
3,3,3,6.446089498780437e-09,0.5647790607867008,0.5666712570836284,1.0
3,4,1,1.2255400919723899e-07,,,1.0
3,4,2,1.6125681911336363e-08,0.13158020710186327,0.16008600255412195,1.0
3,4,3,7.386951045433459e-09,0.45808611915136616,0.4668861366426023,1.0
3,4,4,5.4981598302947086e-09,0.7443070620717891,0.7226070600065917,1.0
3,5,1,1.3641216248149537e-07,,,1.0
3,5,2,2.2870721256444744e-08,0.16765895973203424,0.1973694590505633,1.0
3,5,3,1.0942105415119595e-08,0.4784328964717812,0.48893573489428,1.0
3,5,4,5.692601717852482e-09,0.5202473840168412,0.531552283817561,1.0
3,5,5,4.1184007821796514e-09,0.7234654708521057,0.7165902700609708,1.0
3,9,1,1.747462151460919e-07,,,1.0
3,9,2,3.3413119053771634e-08,0.1912094005918096,0.22068176626909813,1.0
3,9,3,2.147438566121018e-08,0.6426932375469502,0.6247166056174996,1.0
3,9,4,1.3621561848842456e-08,0.6343167187058342,0.6313944427355522,1.0
3,9,5,8.166095013954981e-09,0.5994977011133952,0.6326629090276,1.0
3,9,6,4.869781944295454e-09,0.5963415728048129,0.6373853208470439,1.0
3,9,7,2.468394483402581e-09,0.5068798791482031,0.549448717137953,1.0
3,9,8,1.3796899724506471e-09,0.5589422524347895,0.5740148901828522,1.0
3,9,9,1.0631125078148581e-09,0.770544491184875,0.7633721534556865,1.0
3,10,1,2.098741957749613e-07,,,1.0
3,10,2,3.75640577167071e-08,0.17898368867121406,0.20191546616555686,1.0
3,10,3,2.0853810152962604e-08,0.5551532880242488,0.541389144378511,1.0
3,10,4,1.2423326370217873e-08,0.5957341262384586,0.5817899635464767,1.0
3,10,5,8.04077631760749e-09,0.647232156508698,0.6546073686080609,1.0
3,10,6,5.17561178524229e-09,0.6436706582558286,0.6845772980456957,1.0
3,10,7,2.9425756026523135e-09,0.5685464298235731,0.6168943057082035,1.0
3,10,8,1.5724747197753923e-09,0.5343871941159405,0.556643435177274,1.0
3,10,9,1.0710000946857742e-09,0.6810920908405782,0.677853274472575,1.0
3,10,10,9.135114235305878e-10,0.8529517672905597,0.8451643389042279,1.0
