epoch,global_step,step_in_epoch,split,validation_index,loss,boundary_weight,loss_energy_optimized,loss_energy_consistency,loss_energy_bulk,loss_energy_boundary,loss_energy_boundary_x,loss_energy_boundary_y,learning_rate,optimizer_step_time_mean_ms,optimizer_step_time_p95_ms,optimizer_step_time_max_ms,optimizer_step_count,optimizer_basis_refresh_count,optimizer_peak_memory_mib,learning_rate_first,learning_rate_last,seed,K,hardware,tangent_response_mismatch_pre,tangent_response_mismatch_post,tangent_response_mismatch_ratio,tangent_gradient_rms,tangent_delta_rms,tangent_delta_max_abs,tangent_correction_rel_symmetric_pair,tangent_eta_cap_enabled,tangent_eta_star_mean,tangent_eta_applied_mean,tangent_eta_cap_fraction,tangent_line_search_numerator_mean,tangent_line_search_denominator_mean,tangent_subspace_dimension,tangent_coefficient_0_mean,tangent_coefficient_1_mean,tangent_direction_0_active_fraction,tangent_direction_1_active_fraction,tangent_second_direction_active_fraction,tangent_response_cost_k1_mean,tangent_response_cost_k2_mean,tangent_response_cost_k2_over_k1,tangent_response_orthogonality_max,tangent_coefficient_2_mean,tangent_direction_2_active_fraction,tangent_response_cost_k3_mean,tangent_response_cost_k3_over_k2,tangent_coefficient_3_mean,tangent_direction_3_active_fraction,tangent_response_cost_k4_mean,tangent_response_cost_k4_over_k3,tangent_coefficient_4_mean,tangent_direction_4_active_fraction,tangent_response_cost_k5_mean,tangent_response_cost_k5_over_k4,tangent_coefficient_5_mean,tangent_coefficient_6_mean,tangent_coefficient_7_mean,tangent_coefficient_8_mean,tangent_direction_5_active_fraction,tangent_direction_6_active_fraction,tangent_direction_7_active_fraction,tangent_direction_8_active_fraction,tangent_response_cost_k6_mean,tangent_response_cost_k6_over_k5,tangent_response_cost_k7_mean,tangent_response_cost_k7_over_k6,tangent_response_cost_k8_mean,tangent_response_cost_k8_over_k7,tangent_response_cost_k9_mean,tangent_response_cost_k9_over_k8,tangent_coefficient_9_mean,tangent_direction_9_active_fraction,tangent_response_cost_k10_mean,tangent_response_cost_k10_over_k9
1,24,24,val,1.0,0.0441179183817724,0.0,0.0441179183817724,0.0937512177200226,0.0441179183817724,0.0496332993382501,0.0015846381919914,0.0480486611462587,0.0002,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,train,,0.0475955402781845,0.0,0.0475955402781845,0.1032272022599005,0.0475955402781845,0.055631661981716,0.001396571213076,0.0542350907686399,0.0002,108.8791536167264,317.05590561032284,597.5878909230232,24.0,7.0,8768.38525390625,8.333333333333334e-06,0.0002,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48,24,val,2.0,0.0440490178156091,0.0,0.0440490178156091,0.0935837599643258,0.0440490178156091,0.0495347421487167,0.0015851293127077,0.047949612836009,0.0004,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48,24,train,,0.0475186891668475,0.0,0.0475186891668475,0.1030775298367433,0.0475186891668475,0.0555588406698957,0.0013949425064617,0.054163898163434,0.0004,73.96501675248146,106.8351749330759,225.1196950674057,24.0,8.0,8768.4814453125,0.0002083333333333,0.0004,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,72,24,val,3.0,0.0439892381245668,0.0,0.0439892381245668,0.0934348683969117,0.0439892381245668,0.0494456302723448,0.0015856509237237,0.0478599793486211,0.0006,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,72,24,train,,0.047428324877185,0.0,0.047428324877185,0.1028954624438086,0.047428324877185,0.0554671375666235,0.0013931765748496,0.0540739609917739,0.0006,87.09432805577914,182.40776062011716,223.9403501152992,24.0,8.0,8767.63720703125,0.0004083333333333,0.0006,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,96,24,val,4.0,0.04368511866653,0.0,0.04368511866653,0.0928691927214698,0.04368511866653,0.0491840740549398,0.0015709337156977,0.047613140339242,0.0008,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,96,24,train,,0.0472733807672599,0.0,0.0472733807672599,0.102567121070723,0.0472733807672599,0.055293740303463,0.0013899137972847,0.0539038265061783,0.0008,79.69674374908209,145.01043371856213,148.79543334245682,24.0,8.0,8767.76123046875,0.0006083333333333,0.0008,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,120,24,val,5.0,0.0418055885309298,0.0,0.0418055885309298,0.0888690411394118,0.0418055885309298,0.0470634526084819,0.0015598707306774,0.0455035818778045,0.001,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,120,24,train,,0.0462314641110279,0.0,0.0462314641110279,0.1005637026026249,0.0462314641110279,0.054332238491597,0.0013793323562947,0.0529529061353022,0.001,79.88333143293858,127.98013798892497,224.8820438981056,24.0,8.0,8767.83251953125,0.0008083333333333,0.001,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
